uID,mID,rating
744,1210,5
3040,1584,4
1451,1293,5
5455,3176,2
2507,3074,5
1465,1210,5
1050,2390,4
1587,1866,2
1611,551,5
3507,2580,3
1377,1020,3
3203,2439,2
2649,1092,4
5519,1097,3
2394,1394,4
1697,3060,2
5917,1964,2
3643,1670,4
862,501,3
620,1234,5
5664,741,5
1080,2548,2
1800,3566,4
2731,300,5
1317,288,5
45,3037,3
3792,1995,2
4517,1717,2
1354,1605,3
1369,3745,4
5663,1198,5
2531,17,4
3352,3017,4
3780,50,5
4189,1228,5
3618,259,3
2305,3178,3
3410,3813,4
1068,2398,5
3395,2599,5
1680,780,2
4578,3044,4
4214,3186,5
4054,1961,4
3336,3457,3
5630,2384,2
109,3361,4
3729,2411,2
5908,1372,4
1301,1249,5
3717,832,4
5802,1248,5
1321,919,5
4659,3189,5
1448,2583,4
636,3702,5
2969,2987,3
4260,2288,4
1516,1704,4
4534,157,1
3045,928,4
4579,2710,3
2409,1213,3
1262,2804,4
4437,1010,3
2611,413,3
5614,1131,4
4138,1653,3
1701,3864,2
3595,2797,4
6008,474,4
4042,2985,3
2847,2012,3
752,466,1
5623,3111,3
938,1,5
83,2987,5
5614,2467,5
1419,1721,4
3967,3791,2
4605,1354,2
1983,597,4
1449,2795,4
1034,2081,4
4765,1213,4
4227,3471,5
4007,1682,2
4088,1552,3
4122,2396,4
1010,500,2
839,1407,3
454,3649,1
4062,273,3
5964,2081,2
3393,2099,2
5006,906,5
1050,3728,3
4729,1225,5
5838,2791,2
2529,2991,3
5349,2355,3
1890,2946,3
2106,170,3
5019,908,4
5649,371,2
4157,3628,3
4277,745,4
624,1124,3
2628,3067,3
3590,1997,5
1617,73,2
1050,39,3
5875,608,5
5749,1200,5
4384,429,2
4058,2683,3
2001,3798,3
4675,296,4
641,3479,4
2934,2161,4
2567,1272,4
1139,1784,5
28,480,3
2772,3298,5
4543,3555,3
4364,407,4
1040,2959,4
1556,1950,2
3554,3676,4
660,3074,5
3327,2455,4
4186,3032,2
2161,363,4
5627,1339,2
1899,1246,3
454,344,2
5458,2539,2
933,364,3
4337,3793,5
3127,3108,3
4685,1131,2
6002,527,5
62,172,4
731,3566,5
3499,866,4
4561,708,1
3362,2505,1
1717,1199,5
1851,435,2
1778,2396,5
4387,913,2
3904,1120,3
3393,1254,3
3471,3508,4
4322,1772,3
3389,1762,2
2753,1019,4
1698,3265,4
3648,95,2
102,2714,3
5121,292,2
3713,1923,4
99,1073,3
5714,2840,4
6016,372,2
4748,1246,3
1173,2546,3
3312,1135,3
4310,1407,3
1819,3471,4
3208,585,3
3516,1965,2
802,2194,5
5576,1205,4
5269,1567,5
2592,1589,3
2986,1759,4
3365,748,5
1311,2628,5
5921,1997,4
2293,955,3
586,1201,5
1680,1603,4
2748,648,2
2168,2109,5
85,3299,2
4573,923,5
5276,3289,4
23,1019,2
1125,987,3
5492,1917,5
5420,986,3
3934,1179,2
4725,2140,4
5205,1356,4
4381,1357,4
4193,3095,4
5054,2012,3
877,2763,4
5371,541,5
202,225,2
5812,3196,5
957,1307,5
797,2497,4
1516,1092,1
4447,919,5
2376,608,5
881,608,3
994,858,5
2765,589,5
3745,1113,3
3280,1674,2
3992,2871,3
1890,431,3
3860,161,4
1138,223,3
2015,374,2
3028,3877,3
1698,2750,2
4388,424,3
5765,1301,2
2167,76,2
5058,3733,5
2279,2756,2
199,1409,2
669,2986,2
5250,2125,3
3099,3698,4
3315,2502,5
1413,3863,5
4957,2633,3
1077,3147,3
3609,1784,3
5857,2565,3
148,1377,3
4406,3384,5
3452,1278,4
3311,3623,4
2114,2450,3
355,1641,2
3689,11,4
4390,93,2
4126,47,4
3650,2355,3
2822,969,4
1242,3067,5
5911,1834,5
634,2052,3
17,1284,5
5809,3476,2
911,1672,3
977,1982,3
4771,266,2
1339,3247,1
1611,2000,4
4506,2078,4
3935,1270,4
3546,955,5
1635,3688,2
462,2716,4
3778,431,4
5964,538,5
4578,3267,4
1165,2860,3
4961,1920,3
1824,3594,4
2124,1347,5
3183,2302,4
1335,3235,2
3240,1089,3
53,1552,3
1605,2382,2
1811,785,4
3847,3261,3
5580,1036,5
3933,2858,3
2208,2478,4
3778,3360,4
3081,2662,4
5005,1088,5
3603,1573,2
1875,3927,3
4647,1961,4
4339,316,4
5528,2858,4
165,1073,5
2304,2058,4
2035,1394,4
4026,2420,2
3868,1013,3
544,1262,5
5620,3501,2
4048,1066,5
380,441,5
169,1663,3
5958,1263,5
2323,3786,4
3703,157,3
4541,1907,4
518,1656,4
3525,2617,2
5672,2975,1
4957,1210,4
2844,3104,4
5627,1265,3
2060,3173,1
2613,433,3
5142,2414,4
1125,3578,5
4381,3552,4
3816,1073,5
5824,3238,3
1284,1459,4
1561,1721,5
1599,288,3
3687,736,1
4055,1601,2
4343,466,2
2878,2346,5
5555,1968,5
5908,3104,4
3480,3614,3
2252,3114,4
